datetime,total_amount,items_count
2025-01-01 00:00:00,13.74938164896103,8
2025-01-01 00:00:00,89.96841692160818,3
2025-01-01 00:00:00,90.38484952504803,6
2025-01-01 00:00:00,82.16452149408248,2
2025-01-01 00:00:00,62.67785168393981,8
2025-01-01 00:00:00,14.021701146695767,12
2025-01-01 00:00:00,14.181259257336466,11
2025-01-01 00:00:00,83.82367230055432,11
2025-01-01 00:00:00,55.52781781797657,16
2025-01-01 00:00:00,99.57904554661535,14
2025-01-01 00:00:00,49.06235372412959,15
2025-01-01 00:00:00,35.238888995772996,2
2025-01-01 00:00:00,68.88818995399666,6
2025-01-01 00:00:00,61.26863025089909,16
2025-01-01 00:00:00,17.654942792979725,3
2025-01-01 00:00:00,75.15805845849928,5
2025-01-01 00:00:00,59.95678828178636,12
2025-01-01 00:00:00,59.40107104598054,9
2025-01-01 00:00:00,81.38908861519131,19
2025-01-01 00:00:00,52.4961042366549,6
2025-01-01 00:00:00,13.787541604201559,11
2025-01-01 00:00:00,22.730794280779843,15
2025-01-01 00:00:00,63.62506472072235,11
2025-01-01 00:00:00,23.643343087085736,8
2025-01-01 00:00:00,96.53059501006112,16
2025-01-01 00:00:00,31.814934689228622,11
2025-01-01 00:00:00,31.395290504623723,9
2025-01-01 00:00:00,13.173054918129605,19
2025-01-01 00:00:00,84.079632423974,19
2025-01-01 00:00:00,60.63082996789819,14
2025-01-01 00:00:00,9.568769489143367,10
2025-01-01 01:00:00,52.32234463706403,6
2025-01-01 01:00:00,28.969633071620272,6
2025-01-01 01:00:00,67.03021752309502,1
2025-01-01 01:00:00,97.81800927179172,8
2025-01-01 01:00:00,60.39737081446043,15
2025-01-01 01:00:00,39.658134669740875,11
2025-01-01 01:00:00,91.23486615186371,4
2025-01-01 01:00:00,23.043932963468286,6
2025-01-01 01:00:00,57.86414054813809,11
2025-01-01 01:00:00,94.44980100972371,5
2025-01-01 01:00:00,6.98874119353966,16
2025-01-01 01:00:00,10.403732788876423,4
2025-01-01 01:00:00,42.614036488615234,17
2025-01-01 01:00:00,69.22997745236343,11
2025-01-01 01:00:00,40.15232979356752,9
2025-01-01 01:00:00,28.833514489616523,18
2025-01-01 01:00:00,60.531595759648525,15
2025-01-01 01:00:00,37.834374389758146,19
2025-01-01 01:00:00,12.288668551024097,14
2025-01-01 01:00:00,20.3826856300603,17
2025-01-01 01:00:00,15.10204324808158,14
2025-01-01 01:00:00,38.6992128893702,13
2025-01-01 01:00:00,15.938886947544107,19
2025-01-01 01:00:00,5.017720176212996,15
2025-01-01 01:00:00,63.56067685032765,6
2025-01-01 01:00:00,48.261397870657724,10
2025-01-01 01:00:00,74.39678536081844,17
2025-01-01 01:00:00,95.68376324158702,9
2025-01-01 01:00:00,22.149231697280243,7
2025-01-01 01:00:00,54.89954978425041,18
2025-01-01 01:00:00,43.13886901345911,1
2025-01-01 01:00:00,17.048282142289786,2
2025-01-01 01:00:00,8.618198556935331,4
2025-01-01 01:00:00,24.83893887198605,4
2025-01-01 01:00:00,57.47478309263726,18
2025-01-01 01:00:00,87.83174082164803,3
2025-01-01 02:00:00,33.06945283954214,11
2025-01-01 02:00:00,58.755803229758435,14
2025-01-01 02:00:00,19.094232042504096,16
2025-01-01 02:00:00,58.0434699310908,4
2025-01-01 02:00:00,63.36800070597577,7
2025-01-01 02:00:00,94.25901595739074,16
2025-01-01 02:00:00,60.729272236947956,4
2025-01-01 02:00:00,24.073242601884466,11
2025-01-01 02:00:00,80.18392629816267,12
2025-01-01 02:00:00,83.72202608123747,18
2025-01-01 02:00:00,34.16236680985673,7
2025-01-01 02:00:00,69.45666102180522,13
2025-01-01 02:00:00,42.44292444434967,12
2025-01-01 02:00:00,8.827124283909853,19
2025-01-01 02:00:00,54.04691342377903,5
2025-01-01 02:00:00,5.996895908294722,10
2025-01-01 02:00:00,50.721405365827515,5
2025-01-01 02:00:00,79.66290123984678,7
2025-01-01 02:00:00,98.33952086432367,12
2025-01-01 02:00:00,82.36674403053233,1
2025-01-01 02:00:00,58.854815643705926,15
2025-01-01 02:00:00,62.98586205524113,7
2025-01-01 03:00:00,61.94880826757808,11
2025-01-01 03:00:00,48.63648687605156,6
2025-01-01 03:00:00,25.551613874928567,1
2025-01-01 03:00:00,84.36039037700338,11
2025-01-01 03:00:00,83.50237704026775,18
2025-01-01 03:00:00,30.124822583383125,2
2025-01-01 03:00:00,80.97941962234943,2
2025-01-01 03:00:00,83.46356931225154,6
